taxon_name,gymnosperm,apg_family,group
Abies,TRUE,Pinaceae,trsh
Abronia,FALSE,Nyctaginaceae,herb
Acacia,FALSE,Fabaceae,trsh
Acalypha,FALSE,Euphorbiaceae,herb
Acer,FALSE,Sapindaceae,trsh
Aesculus,FALSE,Sapindaceae,trsh
Agave,FALSE,Asparagaceae,trsh
Allenrolfea occidentalis,FALSE,Amaranthaceae,trsh
Allionia,FALSE,Nyctaginaceae,herb
Alnus,FALSE,Betulaceae,trsh
Alternanthera,FALSE,Amaranthaceae,herb
Amaranthaceae,FALSE,Amaranthaceae,herb
Ambrosia-type,FALSE,Asteraceae,herb
Anacardiaceae,FALSE,Anacardiaceae,trsh
Andromeda Polifolia,FALSE,Ericaceae,trsh
Apiaceae,FALSE,Apiaceae,herb
Apocynaceae,FALSE,Apocynaceae,herb
Aquifoliaceae,FALSE,Aquifoliaceae,trsh
Araceae,FALSE,Araceae,herb
Aralia Hispida,FALSE,Araliaceae,herb
Araliaceae,FALSE,Araliaceae,herb
Arceuthobium,FALSE,Santalaceae,trsh
Arecaceae,FALSE,Arecaceae,trsh
Artemisia,FALSE,Asteraceae,herb
Asteraceae undiff.,FALSE,Asteraceae,herb
Asteraceae:Asteroideae,FALSE,Asteraceae,herb
Asteraceae:Cicorioideae,FALSE,Asteraceae,herb
Avicennia,FALSE,Acanthaceae,trsh
Balsaminaceae,FALSE,Balsaminaceae,herb
Berberidaceae,FALSE,Berberidaceae,trsh
Betula,FALSE,Betulaceae,trsh
Betulaceae undiff.,FALSE,Betulaceae,trsh
Boehmeria,FALSE,Urticaceae,herb
Boraginaceae,FALSE,Boraginaceae,herb
Brassicaceae,FALSE,Brassicaceae,herb
Bromeliaceae undiff.,FALSE,Bromeliaceae,herb
Bumelia,FALSE,Sapotaceae,trsh
Bursera,FALSE,Burseraceae,trsh
Cactaceae,FALSE,Cactaceae,trsh
Calylophus,FALSE,Onagraceae,herb
Campanulaceae,FALSE,Campanulaceae,herb
Cannabis/Humulus,FALSE,Cannabaceae,herb
Canotia,FALSE,Celastraceae,trsh
Caprifoliaceae,FALSE,Caprifoliaceae,trsh
Caprifoliaceae sensu lato,FALSE,Caprifoliaceae,trsh
Carya,FALSE,Juglandaceae,trsh
Caryophyllaceae,FALSE,Caryophyllaceae,herb
Castanea,FALSE,Fagaceae,trsh
Cecropia,FALSE,Urticaceae,trsh
Celastraceae,FALSE,Celastraceae,trsh
Celtis,FALSE,Cannabaceae,trsh
Centaurea,FALSE,Asteraceae,herb
Cephalanthus,FALSE,Rubiaceae,trsh
Ceratiola ericoides-type,FALSE,Ericaceae,trsh
Cerealia-type,FALSE,Poaceae,herb
Chamaecrista,FALSE,Fabaceae,herb
Cistaceae,FALSE,Cistaceae,herb
Cistanthe,FALSE,Montiaceae,herb
Citrus,FALSE,Rutaceae,trsh
Claytonia,FALSE,Montiaceae,herb
Clethra,FALSE,Clethraceae,trsh
Cnidium,FALSE,Apiaceae,herb
Comandra,FALSE,Santalaceae,herb
Combretaceae/Melastomataceae,FALSE,Combretaceae,trsh
Commelinaceae,FALSE,Commelinaceae,herb
Comptonia peregrina,FALSE,Myricaceae,trsh
Convolvulaceae,FALSE,Convolvulaceae,herb
Cornaceae,FALSE,Cornaceae,trsh
Cornus,FALSE,Cornaceae,trsh
Corylus,FALSE,Betulaceae,trsh
Crassulaceae,FALSE,Crassulaceae,herb
Cucurbita,FALSE,Cucurbitaceae,herb
Cuscuta,FALSE,Convolvulaceae,herb
Cyclachaena xanthiifolia,FALSE,Asteraceae,herb
Cynareae,FALSE,Asteraceae,herb
Cyperaceae,FALSE,Cyperaceae,herb
Cyrilla racemiflora,FALSE,Cyrillaceae,trsh
Cyrillaceae,FALSE,Cyrillaceae,trsh
Diapensia,FALSE,Diapensiaceae,herb
Dicentra,FALSE,Papaveraceae,herb
Diervilla lonicera,FALSE,Caprifoliaceae,trsh
Diospyros,FALSE,Ebenaceae,trsh
Dodonaea,FALSE,Sapindaceae,trsh
Dryas,FALSE,Rosaceae,herb
Elaeagnaceae,FALSE,Elaeagnaceae,trsh
Elaeagnus,FALSE,Elaeagnaceae,trsh
Empetrum,FALSE,Ericaceae,trsh
Ephedra,TRUE,Ephedraceae,trsh
Ericaceae,FALSE,Ericaceae,trsh
Eriogonum,FALSE,Polygonaceae,herb
Erythranthe guttata,FALSE,Phrymaceae,herb
Eucalyptus,FALSE,Myrtaceae,trsh
Eugenia,FALSE,Myrtaceae,trsh
Euphorbiaceae,FALSE,Euphorbiaceae,herb
Fabaceae,FALSE,Fabaceae,herb
Fagopyrum,FALSE,Polygonaceae,herb
Fagus,FALSE,Fagaceae,trsh
Filipendula,FALSE,Rosaceae,herb
Fouquieria,FALSE,Fouquieriaceae,trsh
Fraxinus,FALSE,Oleaceae,trsh
Garrya,FALSE,Garryaceae,trsh
Gaylussacia,FALSE,Ericaceae,trsh
Gentianaceae,FALSE,Gentianaceae,herb
Geraniaceae,FALSE,Geraniaceae,herb
Gleditsia,FALSE,Fabaceae,trsh
Gomphrena-type,FALSE,Amaranthaceae,herb
Gordonia,FALSE,Theaceae,trsh
Gossypium,FALSE,Malvaceae,trsh
Grossulariaceae,FALSE,Grossulariaceae,trsh
Guttiferae,FALSE,Clusiaceae,trsh
Hamamelidaceae,FALSE,Hamamelidaceae,trsh
Hydrophyllaceae,FALSE,Boraginaceae,herb
Hypoxis,FALSE,Hypoxidaceae,herb
Ilex,FALSE,Aquifoliaceae,trsh
Impatiens,FALSE,Balsaminaceae,herb
Iridaceae,FALSE,Iridaceae,herb
Itea,FALSE,Iteaceae,trsh
Iva-type,FALSE,Asteraceae,herb
Juglans,FALSE,Juglandaceae,trsh
Juncaceae,FALSE,Juncaceae,herb
Juniperus-type,TRUE,Cupressaceae,trsh
Kallstroemia,FALSE,Zygophyllaceae,herb
Knautia,FALSE,Caprifoliaceae,herb
Koenigia islandica,FALSE,Polygonaceae,herb
Laguncularia,FALSE,Combretaceae,trsh
Lamiaceae,FALSE,Lamiaceae,herb
Larix/Pseudotsuga,TRUE,Pinaceae,trsh
Lechea,FALSE,Cistaceae,herb
Leitneria floridana,FALSE,Simaroubaceae,trsh
Leptosiphon,FALSE,Polemoniaceae,herb
Leptospermum,FALSE,Myrtaceae,trsh
Lewisia,FALSE,Montiaceae,herb
Liliaceae-type,FALSE,Linaceae,herb
Linaceae,FALSE,Linaceae,herb
Linnaea borealis,FALSE,Caprifoliaceae,herb
Liquidambar,FALSE,Altingiaceae,trsh
