taxon_name,gymnosperm,apg_family,group
Abies,TRUE,Pinaceae,trsh
Acacia,FALSE,Fabaceae,trsh
Acanthaceae,FALSE,Acanthaceae,herb
Acer,FALSE,Sapindaceae,trsh
Aconitum,FALSE,Ranunculaceae,herb
Acorus,FALSE,Acoraceae,herb
Adonis,FALSE,Ranunculaceae,herb
Adoxa moschatellina,FALSE,Adoxaceae,herb
Aesculus,FALSE,Sapindaceae,trsh
Agrimonia/Aremonia,FALSE,Rosaceae,herb
Alchemilla/Aphanes,FALSE,Rosaceae,herb
Alkanna-type,FALSE,Lythraceae,herb
Alnus,FALSE,Betulaceae,trsh
Ambrosia/Xanthium,FALSE,Asteraceae,herb
Anagallis-type,FALSE,Primulaceae,herb
Anarrhinum bellidifolium,FALSE,Plantaginaceae,herb
Anchusa arvensis-type,FALSE,Boraginaceae,herb
Androsace,FALSE,Primulaceae,herb
Angiospermae undiff. (herbs),FALSE,delete,herb
Anthyllis,FALSE,Fabaceae,herb
Apiaceae,FALSE,Apiaceae,herb
Araliaceae,FALSE,Araliaceae,trsh
Arceuthobium oxycedri,FALSE,Santalaceae,trsh
Aristolochiaceae,FALSE,Aristolochiaceae,herb
Artemisia,FALSE,Asteraceae,herb
Arum/Acorus,FALSE,Araceae,herb
Aruncus/Spiraea,FALSE,Rosaceae,herb
Asphodelaceae,FALSE,Asphodelaceae,herb
Asteraceae,FALSE,Asteraceae,herb
Astragalus-type,FALSE,Fabaceae,herb
Atropa-type,FALSE,Solanaceae,herb
Berberidaceae,FALSE,Berberidaceae,trsh
Betula,FALSE,Betulaceae,trsh
Betulaceae,FALSE,Betulaceae,trsh
Boraginaceae,FALSE,Boraginaceae,trsh
Brassicaceae,FALSE,Brassicaceae,trsh
Bruckenthalia spiculifolia,FALSE,Ericaceae,trsh
Bryonia,FALSE,Cucurbitaceae,trsh
Buxus,FALSE,Buxaceae,trsh
Calligonum-type,FALSE,Polygonaceae,trsh
Caltha-type,FALSE,Ranunculaceae,herb
Calystegia,FALSE,Convolvulaceae,herb
Campanulaceae,FALSE,Campanulaceae,herb
Cannabaceae/Urticaceae,FALSE,Cannabaceae,herb
Cannabis/Humulus,FALSE,Cannabaceae,herb
Caprifoliaceae,FALSE,Caprifoliaceae,trsh
Carpinus betulus,FALSE,Betulaceae,trsh
Carya,FALSE,Juglandaceae,trsh
Caryophyllaceae (periporate excl. Paronychioideae),FALSE,Caryophyllaceae,herb
Caryophyllaceae subfam. Paronychioideae,FALSE,Caryophyllaceae,herb
Castanea sativa,FALSE,Fagaceae,trsh
Cedrus,TRUE,Pinaceae,trsh
Celastraceae,FALSE,Celastraceae,trsh
Celtis,FALSE,Cannabaceae,trsh
Centaurea,FALSE,Asteraceae,herb
Centaurea cyanus-type,FALSE,Asteraceae,herb
Centaurea nigra-type,FALSE,Asteraceae,herb
Centaurea scabiosa-type,FALSE,Asteraceae,herb
Ceratonia siliqua,FALSE,Fabaceae,trsh
Chamaerops,FALSE,Arecaceae,trsh
Chelidonium majus,FALSE,Papaveraceae,herb
Chenopodiaceae/Amaranthaceae,FALSE,Amaranthaceae,herb
Chrysosplenium,FALSE,Saxifragaceae,herb
Cistaceae,FALSE,Cistaceae,herb
Cistus,FALSE,Cistaceae,trsh
Citrus,FALSE,Rutaceae,trsh
Compositae subfam. Asteroideae,FALSE,Asteraceae,herb
Compositae subfam. Cichorioideae,FALSE,Asteraceae,herb
Consolida-type,FALSE,Ranunculaceae,herb
Convolvulaceae,FALSE,Convolvulaceae,herb
Convolvulus,FALSE,Convolvulaceae,herb
Coriaria myrtifolia,FALSE,Coriariaceae,trsh
Cornus,FALSE,Cornaceae,trsh
Coronilla-type,FALSE,Fabaceae,herb
Corrigiola litoralis,FALSE,Caryophyllaceae,herb
Corrigiola telephiifolia,FALSE,Caryophyllaceae,herb
Corydalis,FALSE,Papaveraceae,herb
Corylus/Myrica,FALSE,Betulaceae,trsh
Crassulaceae,FALSE,Crassulaceae,herb
Cuscuta,FALSE,Convolvulaceae,herb
Cyclamen,FALSE,Primulaceae,herb
Cynareae,FALSE,Asteraceae,herb
Cynoglossum-type,FALSE,Boraginaceae,herb
Cyperaceae,FALSE,Cyperaceae,herb
Datura,FALSE,Solanaceae,herb
Diapensia lapponica,FALSE,Diapensiaceae,trsh
Dipsacaceae,FALSE,Caprifoliaceae,herb
Dipsacoideae,FALSE,Caprifoliaceae,herb
Dorycnium,FALSE,Fabaceae,herb
Drosera,FALSE,Droseraceae,herb
Echium/Onosma,FALSE,Boraginaceae,herb
Ephedra,TRUE,Ephedraceae,trsh
Eranthis hyemalis,FALSE,Ranunculaceae,herb
Ericales (tetrads),FALSE,Ericaceae,herb
Erodium,FALSE,Geraniaceae,herb
Euonymus,FALSE,Celastraceae,trsh
Euphorbiaceae,FALSE,Euphorbiaceae,herb
Fabaceae,FALSE,Fabaceae,herb
Fagopyrum,FALSE,Polygonaceae,herb
Fagus,FALSE,Fagaceae,trsh
Ficus carica,FALSE,Moraceae,trsh
Filipendula,FALSE,Rosaceae,herb
Fraxinus,FALSE,Oleaceae,trsh
Fumana,FALSE,Cistaceae,herb
Fumaria,FALSE,Papaveraceae,herb
Galeopsis/Ballota-type,FALSE,Lamiaceae,herb
Genista-group,FALSE,Fabaceae,trsh
Gentianaceae,FALSE,Gentianaceae,herb
Geraniaceae,FALSE,Geraniaceae,herb
Geum-type,FALSE,Rosaceae,herb
Glaucium,FALSE,Papaveraceae,herb
Globularia,FALSE,Plantaginaceae,herb
Gratiola officinalis,FALSE,Plantaginaceae,herb
Halimium,FALSE,Cistaceae,herb
Hedera,FALSE,Araliaceae,trsh
Helianthemum,FALSE,Cistaceae,herb
Heliotropium,FALSE,Boraginaceae,herb
Helleborus,FALSE,Ranunculaceae,herb
Hepatica,FALSE,Ranunculaceae,herb
Hippophae rhamnoides,FALSE,Elaeagnaceae,trsh
Hypecoum,FALSE,Papaveraceae,herb
Hypericum,FALSE,Hypericaceae,herb
Ilex,FALSE,Aquifoliaceae,trsh
Impatiens,FALSE,Balsaminaceae,herb
Jasminum,FALSE,Oleaceae,trsh
Juglandaceae,FALSE,Juglandaceae,trsh
Juglans,FALSE,Juglandaceae,trsh
Juncaceae,FALSE,Juncaceae,herb
Juniperus-type,TRUE,Cupressaceae,trsh
Koenigia islandica,FALSE,Polygonaceae,herb
Labiatae (6),FALSE,Lamiaceae,herb
Lamiaceae,FALSE,Lamiaceae,herb
Lamium album-type,FALSE,Lamiaceae,herb
Larix/Pseudotsuga,TRUE,Pinaceae,trsh
